Rank,Feature,Importance
1,time_domain_activation,0.06824318439160355
2,directory_length,0.02632000696803417
3,length_url,0.022517202334291487
4,ttl_hostname,0.01563626861771624
5,qty_dot_domain,0.015437679644630276
6,asn_ip,0.011007751937984511
7,time_response,0.0107238045466423
8,time_domain_expiration,0.009145544813169615
9,tls_ssl_certificate,0.007802456232035571
10,qty_mx_servers,0.007488894695584036
11,qty_vowels_domain,0.00735301802978836
12,qty_nameservers,0.005870568765786977
13,domain_length,0.0057172720146329015
14,qty_dot_url,0.005647591673199193
15,qty_slash_url,0.005079696890514784
16,qty_ip_resolved,0.004203466596986338
17,qty_redirects,0.003900357111749864
18,qty_hyphen_url,0.0036460238655169454
19,file_length,0.00336381848271059
20,qty_hyphen_directory,0.002348227506314815
21,qty_slash_directory,0.0022402229770926096
22,domain_spf,0.0019040153296751461
23,qty_dot_file,0.001172371744621581
24,qty_hyphen_domain,0.0010103649507882894
25,has_directory,0.0006898353801933821
26,qty_dot_directory,0.0006671892692274528
27,qty_hyphen_file,0.0006619632436198897
28,has_params,0.0005173765351450422
29,has_file,0.0004320181168887993
30,params_length,0.0002682693145196646
31,qty_tld_url,0.00024562320355371315
32,qty_underline_file,0.00017245884504837327
33,qty_params,0.00013413465725982122
34,qty_equal_params,9.755247800716794e-05
35,domain_in_ip,6.968034143373103e-05
36,url_google_index,6.968034143373103e-05
37,domain_google_index,4.0066196324395345e-05
38,qty_underline_directory,3.8324187788552064e-05
39,qty_percent_file,3.4840170716865515e-05
40,url_shortened,3.4840170716865515e-05
41,qty_equal_url,2.787213657349241e-05
42,qty_comma_file,1.7420085358432758e-05
43,qty_tilde_directory,1.7420085358432758e-05
44,qty_hyphen_params,1.5678076822589483e-05
45,qty_underline_url,1.5678076822589483e-05
46,server_client_domain,5.2260256075298274e-06
47,qty_at_params,1.7420085358432757e-06
48,qty_at_url,1.7420085358432757e-06
49,qty_dot_params,1.7420085358432757e-06
50,qty_percent_directory,1.7420085358432757e-06
51,qty_percent_url,1.7420085358432757e-06
52,qty_slash_params,1.7420085358432757e-06
53,tld_present_params,1.7420085358432757e-06
54,email_in_url,0.0
55,qty_and_directory,0.0
56,qty_and_file,0.0
57,qty_and_url,0.0
58,qty_asterisk_directory,0.0
59,qty_asterisk_file,0.0
60,qty_asterisk_params,0.0
61,qty_asterisk_url,0.0
62,qty_at_directory,0.0
63,qty_at_domain,0.0
64,qty_at_file,0.0
65,qty_comma_directory,0.0
66,qty_comma_params,0.0
67,qty_comma_url,0.0
68,qty_dollar_directory,0.0
69,qty_dollar_file,0.0
70,qty_dollar_params,0.0
71,qty_dollar_url,0.0
72,qty_equal_directory,0.0
73,qty_equal_file,0.0
74,qty_exclamation_directory,0.0
75,qty_exclamation_file,0.0
76,qty_exclamation_params,0.0
77,qty_exclamation_url,0.0
78,qty_hashtag_directory,0.0
79,qty_hashtag_file,0.0
80,qty_hashtag_params,0.0
81,qty_hashtag_url,0.0
82,qty_percent_params,0.0
83,qty_plus_directory,0.0
84,qty_plus_file,0.0
85,qty_plus_params,0.0
86,qty_plus_url,0.0
87,qty_questionmark_directory,0.0
88,qty_questionmark_file,0.0
89,qty_questionmark_params,0.0
90,qty_questionmark_url,0.0
91,qty_slash_file,0.0
92,qty_space_directory,0.0
93,qty_space_file,0.0
94,qty_space_params,0.0
95,qty_space_url,0.0
96,qty_tilde_file,0.0
97,qty_tilde_params,0.0
98,qty_tilde_url,0.0
99,qty_underline_domain,0.0
100,qty_underline_params,0.0
101,qty_and_params,-5.2260256075298274e-06
